index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
99,,10000,67,,32,,100592,0.83,25.71,13.27,4,4
100,,10000,83,,32,,100592,0.83,25.72,13.28,4,4
101,,10761,73,,32,,100592,1.25,25.94,13.60,4,4
102,,9240,67,,34,,100592,1.67,25.71,13.69,4,5
103,,9999,67,,31,,100592,0.83,25.70,13.27,4,4
104,,10000,67,,32,,100592,0.83,25.72,13.28,4,5
105,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
106,,10000,67,,32,,100592,1.25,25.92,13.59,4,4
107,,10761,67,,32,,100592,1.67,25.72,13.70,4,5
108,,9240,67,,33,,100592,0.83,25.71,13.27,4,4
109,,9999,67,,31,,100592,0.83,25.72,13.28,4,4
110,,10000,67,,32,,100592,0.83,25.72,13.28,4,5
111,,10000,82,,32,,100592,1.25,25.92,13.59,5,4
112,,10000,73,,32,,100592,1.67,25.71,13.69,4,4
113,,10760,67,,32,,100592,0.83,25.72,13.28,4,5
114,,9241,67,,34,,100592,0.83,25.72,13.28,4,4
115,,9999,67,,31,,100592,0.83,25.70,13.27,4,5
116,,10000,67,,32,,100592,1.25,25.92,13.59,4,5
117,,10000,67,,32,,100592,1.67,25.70,13.69,4,4
118,,10000,67,,32,,100592,0.83,25.70,13.27,4,5
119,,10761,67,,32,,100592,0.83,25.70,13.27,4,5
120,,9240,67,,34,,100592,0.83,25.70,13.27,4,4
121,,9999,67,,31,,100592,1.25,25.92,13.59,4,5
122,,10000,82,,32,,100592,1.67,25.70,13.69,4,4
123,,10000,73,,32,,100592,0.83,25.70,13.27,4,5
124,,10000,67,,32,,100592,0.83,25.71,13.27,4,4
125,,10761,67,,32,,100592,0.83,25.70,13.27,4,4
126,,9240,67,,33,,100592,1.25,25.93,13.59,4,5
127,,9999,67,,31,,100592,1.67,25.71,13.69,4,4
128,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
129,,10000,67,,32,,100592,0.83,25.72,13.28,4,5
130,,10000,67,,32,,100592,0.83,25.71,13.27,4,4
131,,10761,67,,32,,100592,1.25,25.93,13.59,4,4
132,,9240,67,,33,,100592,1.67,25.72,13.70,4,5
133,,9999,82,,31,,100592,0.83,25.69,13.26,5,4
134,,10000,73,,32,,100592,0.83,25.72,13.28,4,4
135,,10000,67,,32,,100592,0.83,25.69,13.26,4,5
136,,10000,67,,32,,100592,1.25,25.93,13.59,4,5
137,,10760,67,,32,,100592,1.67,25.69,13.68,4,5
138,,9241,67,,33,,100592,0.83,25.71,13.27,4,4
139,,9999,67,,31,,100592,0.83,25.72,13.28,4,4
140,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
141,,10000,67,,32,,100592,1.25,25.92,13.58,4,4
142,,10000,67,,32,,100592,1.67,25.72,13.70,4,4
143,,10761,67,,32,,100592,0.83,25.70,13.27,4,4
144,,9240,91,,33,,100592,0.83,25.69,13.26,5,5
145,,9999,73,,31,,100592,0.83,25.71,13.27,4,5
146,,10000,67,,32,,100592,1.25,25.92,13.59,4,5
147,,10000,67,,32,,100592,1.67,25.71,13.69,4,5
148,,10000,67,,32,,100592,0.83,25.70,13.27,4,5
149,,10761,67,,32,,100592,0.83,25.69,13.26,4,5
150,,9240,67,,33,,100592,0.83,25.72,13.28,4,4
151,,9999,67,,31,,100592,1.25,25.93,13.59,4,5
152,,10000,67,,32,,100592,1.67,25.71,13.69,4,5
153,,10000,67,,32,,100592,0.83,25.71,13.27,4,5
154,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
155,,10761,82,,32,,100592,0.83,25.71,13.27,4,4
156,,9240,73,,33,,100592,1.25,25.93,13.59,4,4
157,,9999,67,,31,,100592,1.67,25.71,13.69,4,4
158,,10000,67,,32,,100592,0.83,25.71,13.27,4,5
159,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
160,,10000,67,,32,,100592,0.83,25.70,13.27,4,5
161,,10761,67,,32,,100592,1.25,25.93,13.59,4,5
162,,9240,67,,33,,100592,1.67,25.72,13.70,4,5
163,,9999,73,,31,,100592,0.83,25.72,13.28,5,6
164,,10000,67,,32,,100592,0.83,25.70,13.27,4,5
165,,10000,67,,32,,100592,0.83,25.72,13.28,4,4
166,,10000,67,,32,,100592,1.25,25.93,13.59,4,5
167,,10761,67,,32,,100592,1.67,25.70,13.69,4,4
168,,9240,67,,34,,100592,0.83,25.73,13.28,4,5
