index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     98372711,        10834,          88,             82,               77,       16982,     85588,      6.10,     27.17,       16.63,               8,                 16
    1,             ,        10008,          88,             79,               71,       16995,     85588,      0.00,     28.91,       14.45,               8,                 16
    2,             ,        10000,          88,             79,               71,       16995,     85588,      0.00,     28.90,       14.45,               8,                 16
    3,             ,        10000,          88,             78,               71,       16995,     85588,      0.00,     28.89,       14.45,               8,                 16
    4,             ,         9996,          97,             79,               71,       16995,     85588,      0.00,     29.96,       14.98,               8,                 16
    5,             ,        11162,          96,             78,               72,        4995,     85588,      6.10,     27.17,       16.63,               8,                 17
    6,             ,        10834,          88,             79,               77,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
    7,             ,        10008,          92,             78,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
    8,             ,        10000,          86,             79,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
    9,             ,        10000,          88,             79,               71,            ,     85588,      0.00,     29.96,       14.98,               8,                 16
   10,             ,         9996,          88,             79,               71,            ,     85588,      6.10,     27.18,       16.64,               8,                 16
   11,             ,        11162,          88,             78,               72,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   12,             ,        10834,          97,               ,               77,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   13,             ,        10008,          96,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   14,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.98,       14.99,               8,                 16
   15,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   16,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   17,             ,        11162,          92,               ,               72,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   18,             ,        10834,          86,               ,               77,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   19,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   20,             ,        10000,          97,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   21,             ,        10000,          96,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   22,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   23,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   24,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     29.97,       14.98,               8,                 17
   25,             ,        10008,          88,               ,               71,            ,     85588,      6.10,     27.16,       16.63,               8,                 16
   26,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   27,             ,        10000,          92,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   28,             ,         9996,          99,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   29,             ,        11162,          96,               ,               72,            ,     85588,      0.00,     29.96,       14.98,               8,                 16
   30,             ,        10834,          88,               ,               78,            ,     85588,      6.10,     27.16,       16.63,               8,                 16
   31,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   32,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   33,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   34,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     29.98,       14.99,               8,                 16
   35,             ,        11162,          88,               ,               72,            ,     85588,      6.10,     27.16,       16.63,               8,                 16
   36,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   37,             ,        10008,          92,               ,               71,            ,     85588,      0.00,     28.92,       14.46,               9,                 16
   38,             ,        10000,          95,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   39,             ,        10000,          94,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   40,             ,         9996,          88,               ,               71,            ,     85588,      6.10,     27.16,       16.63,               8,                 16
   41,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   42,             ,        10834,          88,               ,               77,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   43,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 17
   44,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   45,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   46,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   47,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   48,             ,        10834,          92,               ,               77,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   49,             ,        10008,          93,               ,               71,            ,     85588,      0.00,     29.98,       14.99,               8,                 16
   50,             ,        10000,          94,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   51,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 17
   52,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   53,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   54,             ,        10834,          88,               ,               77,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   55,             ,        10008,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   56,             ,        10000,          97,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   57,             ,        10000,          96,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   58,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   59,             ,        11162,          92,               ,               72,            ,     85588,      0.00,     29.97,       14.98,               8,                 17
   60,             ,        10834,          86,               ,               78,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   61,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   62,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   63,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   64,             ,         9996,          96,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   65,             ,        11162,          96,               ,               72,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   66,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   67,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 17
   68,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   69,             ,        10000,          92,               ,               71,            ,     85588,      0.00,     29.96,       14.98,               8,                 16
   70,             ,         9996,          86,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   71,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   72,             ,        10834,          97,               ,               78,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   73,             ,        10008,          96,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   74,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   75,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.16,       16.63,               8,                 16
   76,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   77,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   78,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   79,             ,        10008,          92,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   80,             ,        10000,          99,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   81,             ,        10000,          96,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   82,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   83,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   84,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
   85,             ,        10008,          88,               ,               71,            ,     85588,      6.10,     27.18,       16.64,               8,                 16
   86,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
   87,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   88,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   89,             ,        11162,          92,               ,               72,            ,     85588,      0.00,     29.96,       14.98,               8,                 16
   90,             ,        10834,          95,               ,               77,            ,     85588,      6.10,     27.17,       16.63,               9,                 16
   91,             ,        10008,          94,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   92,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   93,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   94,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     29.96,       14.98,               8,                 17
   95,             ,        11162,          88,               ,               72,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
   96,             ,        10834,          88,               ,               77,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   97,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
   98,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
   99,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  100,             ,         9996,          92,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
  101,             ,        11162,          94,               ,               72,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  102,             ,        10834,          94,               ,               77,            ,     85588,      0.00,     28.90,       14.45,               8,                 17
  103,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  104,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.96,       14.98,               8,                 16
  105,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
  106,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
  107,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  108,             ,        10834,          97,               ,               77,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  109,             ,        10008,          96,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  110,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.18,       16.64,               8,                 16
  111,             ,        10000,          92,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  112,             ,         9996,          86,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
  113,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  114,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  115,             ,        10008,          88,               ,               71,            ,     85588,      6.10,     27.18,       16.64,               8,                 16
  116,             ,        10000,          97,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  117,             ,        10000,          96,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  118,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  119,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  120,             ,        10834,          88,               ,               77,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
  121,             ,        10008,          92,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  122,             ,        10000,          86,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  123,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  124,             ,         9996,          97,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  125,             ,        11162,          96,               ,               72,            ,     85588,      6.10,     27.17,       16.63,               8,                 17
  126,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
  127,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  128,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  129,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  130,             ,         9996,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
  131,             ,        11162,          92,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  132,             ,        10834,          99,               ,               77,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
  133,             ,        10008,          96,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  134,             ,        10000,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
  135,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.17,       16.63,               8,                 16
  136,             ,         9996,          88,               ,               71,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  137,             ,        11162,          88,               ,               72,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  138,             ,        10834,          88,               ,               77,            ,     85588,      0.00,     28.90,       14.45,               8,                 16
  139,             ,        10008,          88,               ,               71,            ,     85588,      0.00,     29.97,       14.98,               8,                 17
  140,             ,        10000,          88,               ,               71,            ,     85588,      6.10,     27.18,       16.64,               8,                 16
  141,             ,        10000,          91,               ,               71,            ,     85588,      0.00,     28.91,       14.45,               8,                 16
  142,             ,         9996,          95,               ,               71,            ,     85588,      0.00,     28.89,       14.45,               9,                 16
  143,             ,        11162,          94,               ,               72,            ,     85588,      0.00,     28.89,       14.45,               8,                 16
  144,             ,        10834,          88,               ,               78,            ,     85588,      0.00,     29.97,       14.98,               8,                 16
