index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
   64,             ,         9208,         101,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   65,             ,         9999,          85,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   66,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   67,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   68,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   69,             ,        10792,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   70,             ,         9209,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   71,             ,         9999,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   72,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.90,       14.81,               8,                 20
   73,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   74,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   75,             ,        10793,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   76,             ,         9208,          85,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   77,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   78,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   79,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   80,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   81,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   82,             ,         9208,          83,               ,               73,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
   83,             ,         9999,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   84,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   85,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   86,             ,        10000,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   87,             ,        10793,          85,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
   88,             ,         9208,          83,               ,               73,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   89,             ,         9999,          83,               ,               59,            ,     85588,      1.2 ,     27.77,       14.60,               8,                 20
   90,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   91,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   92,             ,        10000,          84,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   93,             ,        10793,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   94,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   95,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   96,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   97,             ,        10000,         109,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               9,                 21
   98,             ,        10000,          85,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   99,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  100,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  101,             ,         9999,          84,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  102,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
  103,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  104,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  105,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  106,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  107,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  108,             ,        10000,         100,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
  109,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
  110,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  111,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  112,             ,         9208,          83,               ,               73,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
  113,             ,         9999,          83,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
  114,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  115,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  116,             ,        10000,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
  117,             ,        10793,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.81,               9,                 20
  118,             ,         9208,          83,               ,               73,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
  119,             ,         9999,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
