index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
  356,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  357,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  358,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  359,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  360,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  361,             ,        10162,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  362,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  363,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  364,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  365,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
  366,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  367,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  368,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  369,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  370,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  371,             ,         9838,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  372,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.91,        8.95,               8,                  8
  373,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  374,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  375,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  376,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.81,        8.90,               8,                  8
  377,             ,        10000,          96,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  378,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  379,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  380,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  381,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
  382,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
  383,             ,        10162,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  384,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
  385,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
  386,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  387,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
  388,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
  389,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
